Name,Game Count,Time Out,Point,Rally_finish,Server,Service_Spin,Service_Side,Service_Bound,Receiver,Receive_racket,Receive_type,Receive_Bound
FEN 0|0-0|0 KIH,0:00,0:00,KIHARA Miyuu,#02,FENG Tianwei,Side,B,BS,KIHARA Miyuu,B,Push,F
FEN 0|0-1|0 KIH,0:00,0:00,FENG Tianwei,#05,FENG Tianwei,Side,B,B,KIHARA Miyuu,B,ドライブ,BMS
FEN 0|1-1|0 KIH,0:00,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,BM,FENG Tianwei,,ドライブ,B
FEN 0|1-2|0 KIH,0:00,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,Push,B
FEN 0|1-3|0 KIH,0:00,0:00,KIHARA Miyuu,#06,FENG Tianwei,Side,B,BS,KIHARA Miyuu,B,Push,BM
FEN 0|1-4|0 KIH,0:00,0:00,FENG Tianwei,#03,FENG Tianwei,Side,B,BM,KIHARA Miyuu,B,ドライブ,BM
FEN 0|2-4|0 KIH,0:00,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,B,Push,B
FEN 0|2-5|0 KIH,0:00,0:00,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,B,FENG Tianwei,B,ドライブ,B
FEN 0|2-6|0 KIH,0:00,0:00,FENG Tianwei,#07,FENG Tianwei,(Side),B,FS,KIHARA Miyuu,F,Stop,FMS
FEN 0|3-6|0 KIH,0:00,0:00,FENG Tianwei,#09-,FENG Tianwei,(Side),B,FMS,KIHARA Miyuu,F,ドライブ,B
FEN 0|3-6|0 KIH,0:00,0:00,,SV Let,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,F,,
FEN 0|4-6|0 KIH,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,B,Chiquita,ネットオーバー
FEN 0|4-7|0 KIH,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BS,FENG Tianwei,B,Push,ネット
FEN 0|4-8|0 KIH,0:00,0:00,KIHARA Miyuu,#08,FENG Tianwei,(Side),B,B,KIHARA Miyuu,B,ドライブ,BMS
FEN 0|4-8|0 KIH,0:00,0:00,,SV Let,FENG Tianwei,(Side),B,BMS,KIHARA Miyuu,B,,
FEN 0|4-9|0 KIH,0:00,0:00,KIHARA Miyuu,#02,FENG Tianwei,(Side),B,BM,KIHARA Miyuu,B,ドライブ,F
FEN 0|4-10|0 KIH,0:00,0:00,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,FMS,FENG Tianwei,F,ドライブ,BM
FEN 0|0-0|1 KIH,0:01,0:00,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,B,FENG Tianwei,B,ドライブ,BM
FEN 0|0-1|1 KIH,0:01,0:00,KIHARA Miyuu,#07,KIHARA Miyuu,(Side),B,FM,FENG Tianwei,F,ドライブ,FM
FEN 0|0-2|1 KIH,0:01,0:00,KIHARA Miyuu,#02,FENG Tianwei,Side,B,BM,KIHARA Miyuu,B,ドライブ,BM
FEN 0|0-3|1 KIH,0:01,0:00,KIHARA Miyuu,#04,FENG Tianwei,Back,B,FS,KIHARA Miyuu,F,Push,BM
FEN 0|0-4|1 KIH,0:01,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FS,FENG Tianwei,F,Stop,FMS
